Timestamp: 2024-03-21T07:21:55.857Z, Maker Highest Bid: 9077.5, Taker Lowest Ask: 67268.65, Profitability: 6.410481960892316, Maker Latency: 96ms, Taker Latency: 204ms
Timestamp: 2024-03-21T07:21:56.083Z, Maker Highest Bid: 9077.5, Taker Lowest Ask: 67254.81, Profitability: 6.408957312035252, Maker Latency: 96ms, Taker Latency: 54ms
Timestamp: 2024-03-21T07:21:56.178Z, Maker Highest Bid: 9077.5, Taker Lowest Ask: 67254.81, Profitability: 6.408957312035252, Maker Latency: 255ms, Taker Latency: 54ms
Timestamp: 2024-03-21T07:21:56.404Z, Maker Highest Bid: 9077.5, Taker Lowest Ask: 67303.98, Profitability: 6.414374001652437, Maker Latency: 255ms, Taker Latency: 43ms
Timestamp: 2024-03-21T07:21:56.509Z, Maker Highest Bid: 9075.5, Taker Lowest Ask: 67303.98, Profitability: 6.416007933447193, Maker Latency: 106ms, Taker Latency: 43ms
Timestamp: 2024-03-21T07:21:56.736Z, Maker Highest Bid: 9075.5, Taker Lowest Ask: 67261.71, Profitability: 6.411350338824308, Maker Latency: 106ms, Taker Latency: 80ms
Timestamp: 2024-03-21T07:21:56.842Z, Maker Highest Bid: 9075.5, Taker Lowest Ask: 67261.71, Profitability: 6.411350338824308, Maker Latency: 45ms, Taker Latency: 80ms
Timestamp: 2024-03-21T07:21:57.064Z, Maker Highest Bid: 9075.5, Taker Lowest Ask: 67262.7, Profitability: 6.41145942372321, Maker Latency: 45ms, Taker Latency: 100ms
Timestamp: 2024-03-21T07:21:57.171Z, Maker Highest Bid: 9075.5, Taker Lowest Ask: 67262.7, Profitability: 6.41145942372321, Maker Latency: 328ms, Taker Latency: 100ms
Timestamp: 2024-03-21T07:21:57.396Z, Maker Highest Bid: 9075.5, Taker Lowest Ask: 67261.01, Profitability: 6.411273208087708, Maker Latency: 328ms, Taker Latency: 321ms
Timestamp: 2024-03-21T07:21:57.502Z, Maker Highest Bid: 9075.5, Taker Lowest Ask: 67261.01, Profitability: 6.411273208087708, Maker Latency: 181ms, Taker Latency: 321ms
Timestamp: 2024-03-21T07:21:57.740Z, Maker Highest Bid: 9075.5, Taker Lowest Ask: 67259.42, Profitability: 6.411098011128863, Maker Latency: 181ms, Taker Latency: 68ms
Timestamp: 2024-03-21T07:21:57.832Z, Maker Highest Bid: 9075.5, Taker Lowest Ask: 67259.42, Profitability: 6.411098011128863, Maker Latency: 57ms, Taker Latency: 68ms
Timestamp: 2024-03-21T07:21:58.502Z, Maker Highest Bid: 9074, Taker Lowest Ask: 67259.42, Profitability: 6.412323121005069, Maker Latency: 276ms, Taker Latency: 68ms
Timestamp: 2024-03-21T07:21:59.480Z, Maker Highest Bid: 9074, Taker Lowest Ask: 67261.27, Profitability: 6.41252700022041, Maker Latency: 276ms, Taker Latency: 71ms
Timestamp: 2024-03-21T07:21:59.798Z, Maker Highest Bid: 9074, Taker Lowest Ask: 67259.63, Profitability: 6.412346264051136, Maker Latency: 276ms, Taker Latency: 168ms
Timestamp: 2024-03-21T07:21:59.825Z, Maker Highest Bid: 9074, Taker Lowest Ask: 67259.63, Profitability: 6.412346264051136, Maker Latency: 97ms, Taker Latency: 168ms
Timestamp: 2024-03-21T07:22:00.143Z, Maker Highest Bid: 9074, Taker Lowest Ask: 67257.6, Profitability: 6.412122547939168, Maker Latency: 97ms, Taker Latency: 253ms
Timestamp: 2024-03-21T07:22:00.501Z, Maker Highest Bid: 9074, Taker Lowest Ask: 67258.96, Profitability: 6.412272426713688, Maker Latency: 97ms, Taker Latency: 228ms
Timestamp: 2024-03-21T07:22:00.791Z, Maker Highest Bid: 9074, Taker Lowest Ask: 67257.08, Profitability: 6.412065241348909, Maker Latency: 97ms, Taker Latency: 69ms
Timestamp: 2024-03-21T07:22:00.813Z, Maker Highest Bid: 9074, Taker Lowest Ask: 67257.08, Profitability: 6.412065241348909, Maker Latency: 70ms, Taker Latency: 69ms
Timestamp: 2024-03-21T07:22:01.124Z, Maker Highest Bid: 9074, Taker Lowest Ask: 67258.21, Profitability: 6.412189772977739, Maker Latency: 70ms, Taker Latency: 58ms
Timestamp: 2024-03-21T07:22:01.466Z, Maker Highest Bid: 9074, Taker Lowest Ask: 67258.21, Profitability: 6.412189772977739, Maker Latency: 70ms, Taker Latency: 120ms
Timestamp: 2024-03-21T07:22:01.807Z, Maker Highest Bid: 9074, Taker Lowest Ask: 67258.21, Profitability: 6.412189772977739, Maker Latency: 209ms, Taker Latency: 120ms
Timestamp: 2024-03-21T07:22:03.776Z, Maker Highest Bid: 9074, Taker Lowest Ask: 67258.21, Profitability: 6.412189772977739, Maker Latency: 209ms, Taker Latency: 263ms
Timestamp: 2024-03-21T07:22:04.102Z, Maker Highest Bid: 9074, Taker Lowest Ask: 67259.7, Profitability: 6.412353978399824, Maker Latency: 209ms, Taker Latency: 192ms
Timestamp: 2024-03-21T07:22:04.138Z, Maker Highest Bid: 9074, Taker Lowest Ask: 67259.7, Profitability: 6.412353978399824, Maker Latency: 130ms, Taker Latency: 192ms
Timestamp: 2024-03-21T07:22:04.775Z, Maker Highest Bid: 9074, Taker Lowest Ask: 67287.2, Profitability: 6.415384615384615, Maker Latency: 130ms, Taker Latency: 196ms
Timestamp: 2024-03-21T07:22:08.558Z, Maker Highest Bid: 9074, Taker Lowest Ask: 67257.11, Profitability: 6.412068547498347, Maker Latency: 130ms, Taker Latency: 303ms
Timestamp: 2024-03-21T07:22:08.757Z, Maker Highest Bid: 9074, Taker Lowest Ask: 67257.11, Profitability: 6.412068547498347, Maker Latency: 240ms, Taker Latency: 303ms
Timestamp: 2024-03-21T07:22:08.880Z, Maker Highest Bid: 9074, Taker Lowest Ask: 67261.1, Profitability: 6.412508265373596, Maker Latency: 240ms, Taker Latency: 135ms
Timestamp: 2024-03-21T07:22:09.087Z, Maker Highest Bid: 9074, Taker Lowest Ask: 67261.1, Profitability: 6.412508265373596, Maker Latency: 303ms, Taker Latency: 135ms
Timestamp: 2024-03-21T07:22:09.204Z, Maker Highest Bid: 9074, Taker Lowest Ask: 67258.25, Profitability: 6.412194181176989, Maker Latency: 303ms, Taker Latency: 130ms
Timestamp: 2024-03-21T07:22:09.750Z, Maker Highest Bid: 9074, Taker Lowest Ask: 67258.25, Profitability: 6.412194181176989, Maker Latency: 107ms, Taker Latency: 130ms
Timestamp: 2024-03-21T07:22:09.868Z, Maker Highest Bid: 9074, Taker Lowest Ask: 67256.05, Profitability: 6.411951730218206, Maker Latency: 107ms, Taker Latency: 327ms
Timestamp: 2024-03-21T07:22:10.089Z, Maker Highest Bid: 9074, Taker Lowest Ask: 67256.05, Profitability: 6.411951730218206, Maker Latency: 223ms, Taker Latency: 327ms
Timestamp: 2024-03-21T07:22:10.742Z, Maker Highest Bid: 9074, Taker Lowest Ask: 67256.05, Profitability: 6.411951730218206, Maker Latency: 82ms, Taker Latency: 327ms
Timestamp: 2024-03-21T07:22:10.871Z, Maker Highest Bid: 9074, Taker Lowest Ask: 67287.2, Profitability: 6.415384615384615, Maker Latency: 82ms, Taker Latency: 87ms
Timestamp: 2024-03-21T07:22:11.074Z, Maker Highest Bid: 9074, Taker Lowest Ask: 67287.2, Profitability: 6.415384615384615, Maker Latency: 285ms, Taker Latency: 87ms
Timestamp: 2024-03-21T07:22:11.215Z, Maker Highest Bid: 9074, Taker Lowest Ask: 67255.35, Profitability: 6.4118745867313205, Maker Latency: 285ms, Taker Latency: 118ms
