Timestamp: 2024-03-27T10:07:55.332Z, Latency: -240  Highest Bid: 69947.88, Lowest Ask: 69947.89
Timestamp: 2024-03-27T10:07:55.432Z, Latency: -241  Highest Bid: 69947.2, Lowest Ask: 69947.21
Timestamp: 2024-03-27T10:07:55.529Z, Latency: -243  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:55.623Z, Latency: -249  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:55.720Z, Latency: -252  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:55.808Z, Latency: -265  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:55.903Z, Latency: -269  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:56.004Z, Latency: -268  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:56.104Z, Latency: -268  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:56.209Z, Latency: -264  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:56.312Z, Latency: -261  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:56.427Z, Latency: -245  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:56.517Z, Latency: -257  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:56.619Z, Latency: -254  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:56.713Z, Latency: -260  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:56.812Z, Latency: -260  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:56.914Z, Latency: -259  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:57.016Z, Latency: -258  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:57.119Z, Latency: -253  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:57.222Z, Latency: -252  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:57.320Z, Latency: -252  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:57.422Z, Latency: -251  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:57.527Z, Latency: -246  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:57.620Z, Latency: -253  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:57.722Z, Latency: -252  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:57.823Z, Latency: -250  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:57.925Z, Latency: -249  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:58.026Z, Latency: -249  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:58.128Z, Latency: -246  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:58.230Z, Latency: -244  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:58.319Z, Latency: -254  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:58.401Z, Latency: -273  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:58.500Z, Latency: -274  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:58.598Z, Latency: -276  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:58.695Z, Latency: -278  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:58.797Z, Latency: -276  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:58.900Z, Latency: -274  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:58.996Z, Latency: -278  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:59.100Z, Latency: -274  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:59.200Z, Latency: -274  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:59.302Z, Latency: -271  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:59.404Z, Latency: -270  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:59.506Z, Latency: -268  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:59.604Z, Latency: -269  Highest Bid: 69945.61, Lowest Ask: 69945.62
Timestamp: 2024-03-27T10:07:59.719Z, Latency: -254  Highest Bid: 69949.98, Lowest Ask: 69949.99
Timestamp: 2024-03-27T10:07:59.816Z, Latency: -260  Highest Bid: 69951.74, Lowest Ask: 69951.75
Timestamp: 2024-03-27T10:07:59.916Z, Latency: -258  Highest Bid: 69951.74, Lowest Ask: 69951.75
Timestamp: 2024-03-27T10:08:00.017Z, Latency: -256  Highest Bid: 69951.74, Lowest Ask: 69951.75
Timestamp: 2024-03-27T10:08:00.125Z, Latency: -249  Highest Bid: 69951.74, Lowest Ask: 69951.75
Timestamp: 2024-03-27T10:08:00.225Z, Latency: -250  Highest Bid: 69951.74, Lowest Ask: 69951.75
Timestamp: 2024-03-27T10:08:00.326Z, Latency: -248  Highest Bid: 69951.74, Lowest Ask: 69951.75
Timestamp: 2024-03-27T10:08:00.427Z, Latency: -248  Highest Bid: 69951.74, Lowest Ask: 69951.75
Timestamp: 2024-03-27T10:08:00.525Z, Latency: -250  Highest Bid: 69951.74, Lowest Ask: 69951.75
Timestamp: 2024-03-27T10:08:00.629Z, Latency: -246  Highest Bid: 69951.74, Lowest Ask: 69951.75
Timestamp: 2024-03-27T10:08:00.727Z, Latency: -249  Highest Bid: 69951.74, Lowest Ask: 69951.75
Timestamp: 2024-03-27T10:08:00.828Z, Latency: -248  Highest Bid: 69951.74, Lowest Ask: 69951.75
Timestamp: 2024-03-27T10:08:00.927Z, Latency: -248  Highest Bid: 69953.74, Lowest Ask: 69953.75
Timestamp: 2024-03-27T10:08:01.021Z, Latency: -254  Highest Bid: 69953.75, Lowest Ask: 69953.76
Timestamp: 2024-03-27T10:08:01.114Z, Latency: -261  Highest Bid: 69956.63, Lowest Ask: 69956.64
Timestamp: 2024-03-27T10:08:01.204Z, Latency: -270  Highest Bid: 69956.63, Lowest Ask: 69956.64
Timestamp: 2024-03-27T10:08:01.306Z, Latency: -268  Highest Bid: 69956.63, Lowest Ask: 69956.64
Timestamp: 2024-03-27T10:08:01.407Z, Latency: -268  Highest Bid: 69956.63, Lowest Ask: 69956.64
Timestamp: 2024-03-27T10:08:01.506Z, Latency: -268  Highest Bid: 69956.63, Lowest Ask: 69956.64
Timestamp: 2024-03-27T10:08:01.609Z, Latency: -266  Highest Bid: 69956.63, Lowest Ask: 69956.64
Timestamp: 2024-03-27T10:08:01.706Z, Latency: -268  Highest Bid: 69956.63, Lowest Ask: 69956.64
Timestamp: 2024-03-27T10:08:01.809Z, Latency: -266  Highest Bid: 69956.63, Lowest Ask: 69956.64
Timestamp: 2024-03-27T10:08:01.904Z, Latency: -270  Highest Bid: 69956.63, Lowest Ask: 69956.64
Timestamp: 2024-03-27T10:08:02.009Z, Latency: -265  Highest Bid: 69956.63, Lowest Ask: 69956.64
Timestamp: 2024-03-27T10:08:02.109Z, Latency: -266  Highest Bid: 69956.63, Lowest Ask: 69956.64
Timestamp: 2024-03-27T10:08:02.217Z, Latency: -257  Highest Bid: 69956.63, Lowest Ask: 69956.64
Timestamp: 2024-03-27T10:08:02.311Z, Latency: -264  Highest Bid: 69956.63, Lowest Ask: 69956.64
Timestamp: 2024-03-27T10:08:02.412Z, Latency: -263  Highest Bid: 69956.63, Lowest Ask: 69956.64
Timestamp: 2024-03-27T10:08:02.509Z, Latency: -266  Highest Bid: 69956.63, Lowest Ask: 69956.64
Timestamp: 2024-03-27T10:08:02.609Z, Latency: -265  Highest Bid: 69956.63, Lowest Ask: 69956.64
Timestamp: 2024-03-27T10:08:02.727Z, Latency: -248  Highest Bid: 69956.63, Lowest Ask: 69956.64
Timestamp: 2024-03-27T10:08:02.810Z, Latency: -265  Highest Bid: 69956.63, Lowest Ask: 69956.64
Timestamp: 2024-03-27T10:08:02.915Z, Latency: -260  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:08:03.014Z, Latency: -261  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:08:03.104Z, Latency: -272  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:08:03.203Z, Latency: -272  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:08:03.304Z, Latency: -271  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:08:03.403Z, Latency: -272  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:08:03.501Z, Latency: -275  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:08:03.618Z, Latency: -257  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:08:03.706Z, Latency: -269  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:08:03.804Z, Latency: -272  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:08:03.913Z, Latency: -263  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:08:04.009Z, Latency: -267  Highest Bid: 69959.99, Lowest Ask: 69960
Timestamp: 2024-03-27T10:08:04.115Z, Latency: -261  Highest Bid: 69961.9, Lowest Ask: 69961.91
Timestamp: 2024-03-27T10:08:04.240Z, Latency: -236  Highest Bid: 69965.4, Lowest Ask: 69965.47
Timestamp: 2024-03-27T10:08:04.319Z, Latency: -256  Highest Bid: 69966.43, Lowest Ask: 69966.44
Timestamp: 2024-03-27T10:08:04.427Z, Latency: -249  Highest Bid: 69969.99, Lowest Ask: 69970
Timestamp: 2024-03-27T10:08:04.526Z, Latency: -249  Highest Bid: 69969.99, Lowest Ask: 69970
Timestamp: 2024-03-27T10:08:04.623Z, Latency: -252  Highest Bid: 69969.99, Lowest Ask: 69970
Timestamp: 2024-03-27T10:08:04.722Z, Latency: -253  Highest Bid: 69969.99, Lowest Ask: 69970
Timestamp: 2024-03-27T10:08:04.823Z, Latency: -252  Highest Bid: 69969.99, Lowest Ask: 69970
Timestamp: 2024-03-27T10:08:04.915Z, Latency: -261  Highest Bid: 69969.99, Lowest Ask: 69970
Timestamp: 2024-03-27T10:08:05.025Z, Latency: -251  Highest Bid: 69969.99, Lowest Ask: 69970
Timestamp: 2024-03-27T10:08:05.127Z, Latency: -249  Highest Bid: 69969.99, Lowest Ask: 69970
Timestamp: 2024-03-27T10:08:05.214Z, Latency: -262  Highest Bid: 69969.99, Lowest Ask: 69970
Timestamp: 2024-03-27T10:08:05.320Z, Latency: -255  Highest Bid: 69969.99, Lowest Ask: 69970
Timestamp: 2024-03-27T10:08:05.420Z, Latency: -255  Highest Bid: 69969.99, Lowest Ask: 69970
Timestamp: 2024-03-27T10:08:05.521Z, Latency: -255  Highest Bid: 69969.99, Lowest Ask: 69970
Timestamp: 2024-03-27T10:08:05.625Z, Latency: -251  Highest Bid: 69969.99, Lowest Ask: 69970
Timestamp: 2024-03-27T10:08:05.729Z, Latency: -247  Highest Bid: 69969.99, Lowest Ask: 69970
Timestamp: 2024-03-27T10:08:05.826Z, Latency: -250  Highest Bid: 69969.99, Lowest Ask: 69970
Timestamp: 2024-03-27T10:08:05.929Z, Latency: -248  Highest Bid: 69969.99, Lowest Ask: 69970
Timestamp: 2024-03-27T10:08:06.029Z, Latency: -248  Highest Bid: 69969.99, Lowest Ask: 69970
Timestamp: 2024-03-27T10:08:06.124Z, Latency: -252  Highest Bid: 69969.99, Lowest Ask: 69970
Timestamp: 2024-03-27T10:08:06.224Z, Latency: -253  Highest Bid: 69969.99, Lowest Ask: 69970
Timestamp: 2024-03-27T10:08:06.324Z, Latency: -253  Highest Bid: 69969.99, Lowest Ask: 69970
Timestamp: 2024-03-27T10:08:06.449Z, Latency: -227  Highest Bid: 69969.99, Lowest Ask: 69970
Timestamp: 2024-03-27T10:08:06.601Z, Latency: -176  Highest Bid: 69969.99, Lowest Ask: 69970
Timestamp: 2024-03-27T10:08:06.699Z, Latency: -177  Highest Bid: 69969.99, Lowest Ask: 69970
Timestamp: 2024-03-27T10:08:06.819Z, Latency: -157  Highest Bid: 69969.99, Lowest Ask: 69970
Timestamp: 2024-03-27T10:08:06.949Z, Latency: -127  Highest Bid: 69969.99, Lowest Ask: 69970
Timestamp: 2024-03-27T10:08:07.131Z, Latency: -46  Highest Bid: 69969.99, Lowest Ask: 69970
Timestamp: 2024-03-27T10:08:07.202Z, Latency: -75  Highest Bid: 69969.99, Lowest Ask: 69970
Timestamp: 2024-03-27T10:08:07.315Z, Latency: -62  Highest Bid: 69947.33, Lowest Ask: 69949.73
Timestamp: 2024-03-27T10:08:07.398Z, Latency: -78  Highest Bid: 69937.05, Lowest Ask: 69941.97
Timestamp: 2024-03-27T10:08:07.513Z, Latency: -63  Highest Bid: 69936.4, Lowest Ask: 69939.89
Timestamp: 2024-03-27T10:08:07.597Z, Latency: -80  Highest Bid: 69936.4, Lowest Ask: 69936.56
Timestamp: 2024-03-27T10:08:07.645Z, Latency: -132  Highest Bid: 69936.4, Lowest Ask: 69936.41
Timestamp: 2024-03-27T10:08:07.708Z, Latency: -168  Highest Bid: 69936.4, Lowest Ask: 69936.41
Timestamp: 2024-03-27T10:08:07.774Z, Latency: -202  Highest Bid: 69936.4, Lowest Ask: 69936.41
Timestamp: 2024-03-27T10:08:07.860Z, Latency: -216  Highest Bid: 69936.4, Lowest Ask: 69936.41
Timestamp: 2024-03-27T10:08:07.997Z, Latency: -180  Highest Bid: 69936.4, Lowest Ask: 69936.41
Timestamp: 2024-03-27T10:08:08.101Z, Latency: -175  Highest Bid: 69936.4, Lowest Ask: 69936.41
Timestamp: 2024-03-27T10:08:08.174Z, Latency: -202  Highest Bid: 69936.4, Lowest Ask: 69936.41
Timestamp: 2024-03-27T10:08:08.256Z, Latency: -220  Highest Bid: 69936.4, Lowest Ask: 69936.41
Timestamp: 2024-03-27T10:08:08.314Z, Latency: -265  Highest Bid: 69936.4, Lowest Ask: 69936.41
Timestamp: 2024-03-27T10:08:08.405Z, Latency: -272  Highest Bid: 69936.4, Lowest Ask: 69936.41
Timestamp: 2024-03-27T10:08:08.505Z, Latency: -272  Highest Bid: 69936.4, Lowest Ask: 69936.41
Timestamp: 2024-03-27T10:08:08.597Z, Latency: -280  Highest Bid: 69936.4, Lowest Ask: 69936.41
Timestamp: 2024-03-27T10:08:08.704Z, Latency: -273  Highest Bid: 69936.4, Lowest Ask: 69936.41
Timestamp: 2024-03-27T10:08:08.820Z, Latency: -257  Highest Bid: 69936.4, Lowest Ask: 69936.41
Timestamp: 2024-03-27T10:08:08.937Z, Latency: -240  Highest Bid: 69936.4, Lowest Ask: 69936.41
Timestamp: 2024-03-27T10:08:09.061Z, Latency: -217  Highest Bid: 69936.4, Lowest Ask: 69936.41
Timestamp: 2024-03-27T10:08:09.104Z, Latency: -273  Highest Bid: 69936.4, Lowest Ask: 69936.41
Timestamp: 2024-03-27T10:08:09.199Z, Latency: -279  Highest Bid: 69936.4, Lowest Ask: 69936.41
Timestamp: 2024-03-27T10:08:09.302Z, Latency: -275  Highest Bid: 69936.4, Lowest Ask: 69936.41
Timestamp: 2024-03-27T10:08:09.408Z, Latency: -270  Highest Bid: 69936.4, Lowest Ask: 69936.41
Timestamp: 2024-03-27T10:08:09.533Z, Latency: -244  Highest Bid: 69936.4, Lowest Ask: 69936.41
Timestamp: 2024-03-27T10:08:09.606Z, Latency: -272  Highest Bid: 69936.4, Lowest Ask: 69936.41
Timestamp: 2024-03-27T10:08:09.702Z, Latency: -276  Highest Bid: 69936.4, Lowest Ask: 69936.41
Timestamp: 2024-03-27T10:08:09.800Z, Latency: -278  Highest Bid: 69936.4, Lowest Ask: 69936.41
Timestamp: 2024-03-27T10:08:09.963Z, Latency: -215  Highest Bid: 69936.4, Lowest Ask: 69936.41
Timestamp: 2024-03-27T10:08:10.222Z, Latency: -56  Highest Bid: 69936.4, Lowest Ask: 69936.41
Timestamp: 2024-03-27T10:08:10.419Z, Latency: 41  Highest Bid: 69936.4, Lowest Ask: 69936.41
Timestamp: 2024-03-27T10:08:10.437Z, Latency: -141  Highest Bid: 69936.4, Lowest Ask: 69936.41
Timestamp: 2024-03-27T10:08:10.444Z, Latency: -233  Highest Bid: 69936.4, Lowest Ask: 69936.41
Timestamp: 2024-03-27T10:08:10.521Z, Latency: -257  Highest Bid: 69936.4, Lowest Ask: 69936.41
Timestamp: 2024-03-27T10:08:10.638Z, Latency: -240  Highest Bid: 69936.4, Lowest Ask: 69936.41
Timestamp: 2024-03-27T10:08:10.709Z, Latency: -268  Highest Bid: 69936.4, Lowest Ask: 69936.41
