Timestamp: 2024-03-27T10:07:57.600Z, Latency: -260  Highest Bid: 74301.3, Lowest Ask: 74309.1
Timestamp: 2024-03-27T10:07:57.703Z, Latency: -262  Highest Bid: 74301.6, Lowest Ask: 74309.1
Timestamp: 2024-03-27T10:07:57.810Z, Latency: -261  Highest Bid: 74301.9, Lowest Ask: 74309.1
Timestamp: 2024-03-27T10:07:57.921Z, Latency: -255  Highest Bid: 74302.1, Lowest Ask: 74309.1
Timestamp: 2024-03-27T10:07:58.024Z, Latency: -258  Highest Bid: 74302.1, Lowest Ask: 74309.1
Timestamp: 2024-03-27T10:07:58.312Z, Latency: -265  Highest Bid: 74303, Lowest Ask: 74309.1
Timestamp: 2024-03-27T10:07:58.402Z, Latency: -281  Highest Bid: 74303.3, Lowest Ask: 74309.1
Timestamp: 2024-03-27T10:07:58.499Z, Latency: -286  Highest Bid: 74303.5, Lowest Ask: 74309.1
Timestamp: 2024-03-27T10:07:58.607Z, Latency: -289  Highest Bid: 74303.5, Lowest Ask: 74309.1
Timestamp: 2024-03-27T10:07:58.716Z, Latency: -285  Highest Bid: 74303.8, Lowest Ask: 74309.1
Timestamp: 2024-03-27T10:07:58.822Z, Latency: -286  Highest Bid: 74304.2, Lowest Ask: 74309.1
Timestamp: 2024-03-27T10:07:58.926Z, Latency: -288  Highest Bid: 74304.2, Lowest Ask: 74309.1
Timestamp: 2024-03-27T10:07:59.180Z, Latency: -277  Highest Bid: 74304.6, Lowest Ask: 74309.2
Timestamp: 2024-03-27T10:07:59.331Z, Latency: -286  Highest Bid: 74304.8, Lowest Ask: 74309.2
Timestamp: 2024-03-27T10:07:59.440Z, Latency: -277  Highest Bid: 74305.6, Lowest Ask: 74314.9
Timestamp: 2024-03-27T10:07:59.539Z, Latency: -283  Highest Bid: 74310.9, Lowest Ask: 74322
Timestamp: 2024-03-27T10:07:59.646Z, Latency: -280  Highest Bid: 74312.4, Lowest Ask: 74322
Timestamp: 2024-03-27T10:07:59.759Z, Latency: -272  Highest Bid: 74315.7, Lowest Ask: 74322
Timestamp: 2024-03-27T10:07:59.865Z, Latency: -271  Highest Bid: 74316, Lowest Ask: 74322
Timestamp: 2024-03-27T10:07:59.972Z, Latency: -270  Highest Bid: 74316, Lowest Ask: 74322
Timestamp: 2024-03-27T10:08:00.079Z, Latency: -268  Highest Bid: 74316.2, Lowest Ask: 74322
Timestamp: 2024-03-27T10:08:00.204Z, Latency: -249  Highest Bid: 74316.6, Lowest Ask: 74322
Timestamp: 2024-03-27T10:08:00.300Z, Latency: -259  Highest Bid: 74316.6, Lowest Ask: 74322
Timestamp: 2024-03-27T10:08:00.407Z, Latency: -261  Highest Bid: 74316.6, Lowest Ask: 74322
Timestamp: 2024-03-27T10:08:00.519Z, Latency: -254  Highest Bid: 74316.6, Lowest Ask: 74322
Timestamp: 2024-03-27T10:08:00.623Z, Latency: -258  Highest Bid: 74316.6, Lowest Ask: 74322
Timestamp: 2024-03-27T10:08:00.736Z, Latency: -257  Highest Bid: 74316.8, Lowest Ask: 74322
Timestamp: 2024-03-27T10:08:00.879Z, Latency: -252  Highest Bid: 74317.8, Lowest Ask: 74327.3
Timestamp: 2024-03-27T10:08:00.977Z, Latency: -258  Highest Bid: 74318.7, Lowest Ask: 74330.3
Timestamp: 2024-03-27T10:08:01.071Z, Latency: -273  Highest Bid: 74319.8, Lowest Ask: 74330.3
Timestamp: 2024-03-27T10:08:01.167Z, Latency: -278  Highest Bid: 74320.4, Lowest Ask: 74330.3
